file,frame_ms,W,num_bins,smooth_bins,median_width,gt_count,pred_count,matched,missing,extra,MAE_ms,RMSE_ms,balanced_frame_error,match_tolerance_ms,T_energy,T_centroid,fallback
phone_F1.wav,20.0,3.0,40,1,1,2,4,2,0,2,40.00000000000009,41.23105625617666,0.09009009009009009,150.0,0.005571864224584715,880.1991377905388,False
phone_M1.wav,20.0,3.0,40,1,1,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00037131369907001494,1123.9517450142355,False
studio_F1.wav,20.0,3.0,40,1,1,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0004271091144139163,1293.0341774016924,False
studio_M1.wav,20.0,3.0,40,1,1,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.0005128284695330171,1840.5974584651794,False
phone_F1.wav,20.0,3.0,40,1,3,2,6,2,0,4,30.00000000000014,30.00000000000014,0.15765765765765766,150.0,0.005571864224584715,880.1991377905388,False
phone_M1.wav,20.0,3.0,40,1,3,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00037131369907001494,1123.9517450142355,False
studio_F1.wav,20.0,3.0,40,1,3,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0004271091144139163,1293.0341774016924,False
studio_M1.wav,20.0,3.0,40,1,3,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.0005128284695330171,1840.5974584651794,False
phone_F1.wav,20.0,3.0,40,1,5,2,6,2,0,4,30.00000000000014,30.00000000000014,0.15765765765765766,150.0,0.005571864224584715,880.1991377905388,False
phone_M1.wav,20.0,3.0,40,1,5,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.00037131369907001494,1123.9517450142355,False
studio_F1.wav,20.0,3.0,40,1,5,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0004271091144139163,1293.0341774016924,False
studio_M1.wav,20.0,3.0,40,1,5,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.0005128284695330171,1840.5974584651794,False
phone_F1.wav,20.0,3.0,40,3,1,2,4,1,1,3,109.99999999999999,109.99999999999999,0.30180180180180183,150.0,0.0047813160073565085,1546.322349930464,False
phone_M1.wav,20.0,3.0,40,3,1,2,2,2,0,0,19.99999999999999,19.99999999999999,0.006535947712418301,150.0,0.0010114727984000635,1002.2544960132262,False
studio_F1.wav,20.0,3.0,40,3,1,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0005338824032188146,1610.7812788850547,False
studio_M1.wav,20.0,3.0,40,3,1,2,2,2,0,0,85.00000000000003,85.14693182963202,0.075,150.0,0.000641035521713132,2516.55296945504,False
phone_F1.wav,20.0,3.0,40,3,3,2,6,1,1,5,109.99999999999999,109.99999999999999,0.4099099099099099,150.0,0.0047813160073565085,1546.322349930464,False
phone_M1.wav,20.0,3.0,40,3,3,2,2,2,0,0,19.99999999999999,19.99999999999999,0.006535947712418301,150.0,0.0010114727984000635,1002.2544960132262,False
studio_F1.wav,20.0,3.0,40,3,3,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0005338824032188146,1610.7812788850547,False
studio_M1.wav,20.0,3.0,40,3,3,2,2,1,1,1,89.99999999999997,89.99999999999997,0.13333333333333333,150.0,0.000641035521713132,2516.55296945504,False
phone_F1.wav,20.0,3.0,40,3,5,2,4,0,2,4,,,0.3963963963963964,150.0,0.0047813160073565085,1546.322349930464,False
phone_M1.wav,20.0,3.0,40,3,5,2,2,2,0,0,19.99999999999999,19.99999999999999,0.006535947712418301,150.0,0.0010114727984000635,1002.2544960132262,False
studio_F1.wav,20.0,3.0,40,3,5,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0005338824032188146,1610.7812788850547,False
studio_M1.wav,20.0,3.0,40,3,5,2,2,1,1,1,50.00000000000004,50.00000000000004,0.19166666666666668,150.0,0.000641035521713132,2516.55296945504,False
phone_F1.wav,20.0,3.0,80,1,1,2,4,2,0,2,9.999999999999897,9.999999999999897,0.07207207207207207,150.0,0.002014397247057786,654.1930479573498,False
phone_M1.wav,20.0,3.0,80,1,1,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.0002798623991657223,1093.5274327639831,False
studio_F1.wav,20.0,3.0,80,1,1,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0003737224700114671,1240.0763271544656,False
studio_M1.wav,20.0,3.0,80,1,1,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.00044872494344295967,1129.0653416337473,False
phone_F1.wav,20.0,3.0,80,1,3,2,4,2,0,2,9.999999999999897,9.999999999999897,0.07207207207207207,150.0,0.002014397247057786,654.1930479573498,False
phone_M1.wav,20.0,3.0,80,1,3,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.0002798623991657223,1093.5274327639831,False
studio_F1.wav,20.0,3.0,80,1,3,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0003737224700114671,1240.0763271544656,False
studio_M1.wav,20.0,3.0,80,1,3,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.00044872494344295967,1129.0653416337473,False
phone_F1.wav,20.0,3.0,80,1,5,2,4,2,0,2,9.999999999999897,9.999999999999897,0.07207207207207207,150.0,0.002014397247057786,654.1930479573498,False
phone_M1.wav,20.0,3.0,80,1,5,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.0002798623991657223,1093.5274327639831,False
studio_F1.wav,20.0,3.0,80,1,5,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.0003737224700114671,1240.0763271544656,False
studio_M1.wav,20.0,3.0,80,1,5,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.00044872494344295967,1129.0653416337473,False
phone_F1.wav,20.0,3.0,80,3,1,2,4,2,0,2,29.99999999999986,36.05551275463982,0.08558558558558559,150.0,0.0047813160073565085,630.4029332380667,False
phone_M1.wav,20.0,3.0,80,3,1,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.0002798623991657223,1139.1639011393615,False
studio_F1.wav,20.0,3.0,80,3,1,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.00032033582560901793,1257.7289439035412,False
studio_M1.wav,20.0,3.0,80,3,1,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.00044872494344295967,1289.1600679208195,False
phone_F1.wav,20.0,3.0,80,3,3,2,4,2,0,2,19.999999999999908,22.36067977499787,0.08108108108108109,150.0,0.0047813160073565085,630.4029332380667,False
phone_M1.wav,20.0,3.0,80,3,3,2,2,2,0,0,10.000000000000203,14.142135623730923,0.0032679738562091504,150.0,0.0002798623991657223,1139.1639011393615,False
studio_F1.wav,20.0,3.0,80,3,3,2,2,2,0,0,5.0000000000001705,7.071067811865639,0.0,150.0,0.00032033582560901793,1257.7289439035412,False
studio_M1.wav,20.0,3.0,80,3,3,2,2,2,0,0,45.00000000000026,45.27692569068732,0.041666666666666664,150.0,0.00044872494344295967,1289.1600679208195,False
phone_F1.wav,20.0,3.0,80,3,5,2,4,2,0,2,19.999999999999908,22.36067977499787,0.08108108108108109,150.0,0.0047813160073565085,630.4029332380667,False
