file,training_copy,condition,reference_snr_db,seed,measured_reference_db,estimated_total_snr_db,gt_count,pred_count,matched,missing,extra,MAE_ms,RMSE_ms,balanced_frame_error,match_tolerance_ms
TIMIT_SA1.wav,False,original,,,,30.447403131124105,2,1,1,1,0,47.499999999999986,47.499999999999986,0.1078125,150.0
TIMIT_SA1.wav,False,added_white_noise,30,20260914,30.0,27.26509933300693,2,1,1,1,0,47.499999999999986,47.499999999999986,0.1078125,150.0
TIMIT_SA1.wav,False,added_white_noise,30,20260915,30.0,27.209237943005075,2,1,1,1,0,47.499999999999986,47.499999999999986,0.1078125,150.0
TIMIT_SA1.wav,False,added_white_noise,30,20260916,30.0,27.14736950632631,2,1,1,1,0,47.499999999999986,47.499999999999986,0.1078125,150.0
TIMIT_SA1.wav,False,added_white_noise,20,20260914,20.0,19.705741036490704,2,1,1,1,0,47.499999999999986,47.499999999999986,0.1078125,150.0
TIMIT_SA1.wav,False,added_white_noise,20,20260915,20.0,19.58569326853572,2,1,1,1,0,47.499999999999986,47.499999999999986,0.1078125,150.0
TIMIT_SA1.wav,False,added_white_noise,20,20260916,20.0,19.52276699563862,2,1,1,1,0,47.499999999999986,47.499999999999986,0.1078125,150.0
TIMIT_SA1.wav,False,added_white_noise,10,20260914,10.0,10.045836960234219,2,1,1,1,0,47.499999999999986,47.499999999999986,0.1078125,150.0
TIMIT_SA1.wav,False,added_white_noise,10,20260915,10.0,9.898018897513731,2,1,1,1,0,47.499999999999986,47.499999999999986,0.1078125,150.0
TIMIT_SA1.wav,False,added_white_noise,10,20260916,9.999999999999998,9.83885161481273,2,2,1,1,1,97.49999999999991,97.49999999999991,0.0703125,150.0
TIMIT_SA1.wav,False,added_white_noise,0,20260914,9.64327466553287e-16,0.14261369882430822,2,1,1,1,0,47.499999999999986,47.499999999999986,0.1078125,150.0
TIMIT_SA1.wav,False,added_white_noise,0,20260915,0.0,-0.12961952939018132,2,2,1,1,1,47.499999999999986,47.499999999999986,0.24114583333333334,150.0
TIMIT_SA1.wav,False,added_white_noise,0,20260916,0.0,-0.23457104180622426,2,0,0,2,0,,,0.5,150.0
TIMIT_SA2.wav,False,original,,,,32.328484950958995,2,2,2,0,0,14.594000000000163,18.95388276844613,0.021739130434782608,150.0
TIMIT_SA2.wav,False,added_white_noise,30,20260924,30.0,27.993913157665613,2,2,2,0,0,14.594000000000163,18.95388276844613,0.021739130434782608,150.0
TIMIT_SA2.wav,False,added_white_noise,30,20260925,30.0,28.05802096925205,2,2,2,0,0,14.594000000000163,18.95388276844613,0.021739130434782608,150.0
TIMIT_SA2.wav,False,added_white_noise,30,20260926,30.0,27.980119158607387,2,2,2,0,0,14.594000000000163,18.95388276844613,0.021739130434782608,150.0
TIMIT_SA2.wav,False,added_white_noise,20,20260924,20.0,19.747555329954075,2,2,2,0,0,14.594000000000163,18.95388276844613,0.021739130434782608,150.0
TIMIT_SA2.wav,False,added_white_noise,20,20260925,20.0,19.78034928849812,2,2,2,0,0,14.594000000000163,18.95388276844613,0.021739130434782608,150.0
TIMIT_SA2.wav,False,added_white_noise,20,20260926,20.0,19.72157727010326,2,2,2,0,0,14.594000000000163,18.95388276844613,0.021739130434782608,150.0
TIMIT_SA2.wav,False,added_white_noise,10,20260924,9.999999999999998,9.97981626038986,2,2,2,0,0,14.594000000000163,18.95388276844613,0.021739130434782608,150.0
TIMIT_SA2.wav,False,added_white_noise,10,20260925,9.999999999999998,9.980145875973626,2,2,2,0,0,14.594000000000163,18.95388276844613,0.021739130434782608,150.0
TIMIT_SA2.wav,False,added_white_noise,10,20260926,9.999999999999998,9.944266228110003,2,2,2,0,0,14.594000000000163,18.95388276844613,0.021739130434782608,150.0
TIMIT_SA2.wav,False,added_white_noise,0,20260924,-4.821637332766436e-16,0.03222773836723226,2,3,2,0,1,14.594000000000163,18.95388276844613,0.06521739130434782,150.0
TIMIT_SA2.wav,False,added_white_noise,0,20260925,0.0,-0.012163430126810471,2,1,1,1,0,2.500000000000391,2.500000000000391,0.3695652173913043,150.0
TIMIT_SA2.wav,False,added_white_noise,0,20260926,-4.821637332766436e-16,-0.04256858106101002,2,3,2,0,1,14.594000000000163,18.95388276844613,0.21739130434782608,150.0
TIMIT_SI1573.wav,False,original,,,,28.68352712994056,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI1573.wav,False,added_white_noise,30,20260934,30.0,26.243988265990936,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI1573.wav,False,added_white_noise,30,20260935,30.0,26.338863918071134,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI1573.wav,False,added_white_noise,30,20260936,30.0,26.19724254915755,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
TIMIT_SI1573.wav,False,added_white_noise,20,20260934,20.0,19.38768156186192,2,2,1,1,1,42.499999999999986,42.499999999999986,0.023529411764705882,150.0
